ano,mes,fonte_unica
2025,1,ONS
2025,2,ONS
2025,3,ONS
2025,4,ONS
2025,5,ONS
2025,6,ONS
2025,7,ONS
2025,8,ONS
2025,9,ONS
2025,10,ONS
2025,11,ONS
2025,12,ONS
2010,1,ERA5
2010,2,ERA5
2010,3,ERA5
2010,4,ERA5
2010,5,ERA5
2010,6,ERA5
2010,7,ERA5
2010,8,ERA5
2010,9,ERA5
2010,10,ERA5
2010,11,ERA5
2010,12,ERA5
2011,1,ERA5
2011,2,ERA5
2011,3,ERA5
2011,4,ERA5
2011,5,ERA5
2011,6,ERA5
2011,7,ERA5
2011,8,ERA5
2011,9,ERA5
2011,10,ERA5
2011,11,ERA5
2011,12,ERA5
2012,1,ERA5
2012,2,ERA5
2012,3,ERA5
2012,4,ERA5
2012,5,ERA5
2012,6,ERA5
2012,7,ERA5
2012,8,ERA5
2012,9,ERA5
2012,10,ERA5
2012,11,ERA5
2012,12,ERA5
2013,1,ERA5
2013,2,ERA5
2013,3,ERA5
2013,4,ERA5
2013,5,ERA5
2013,6,ERA5
2013,7,ERA5
2013,8,ERA5
2013,9,ERA5
2013,10,ERA5
2013,11,ERA5
2013,12,ERA5
2014,1,ERA5
2014,2,ERA5
2014,3,ERA5
2014,4,ERA5
2014,5,ERA5
2014,6,ERA5
2014,7,ERA5
2014,8,ERA5
2014,9,ERA5
2014,10,ERA5
2014,11,ERA5
2014,12,ERA5
